 ISBN            Amazon         WWU            Profit         ROI            

9780030747090   $3.47           $236.75         $110.91         1440.28      


9780495602200   $0.94           $135.50         $62.82          1255.17      


9780078025396   $2.00           $165.75         $76.89          1250.17      


9780132970754   $2.00           $108.75         $48.39          774.37       


9780321331793   $1.96           $97.25          $42.68          684.29       


9780073534275   $2.65           $108.50         $47.61          677.11       


9780495389606   $0.77           $75.00          $32.74          671.64       


9780618063123   $3.62           $115.75         $50.27          612.94       


9781412960786   $0.01           $54.00          $23.00          574.75       


9780470904145   $4.50           $120.00         $51.51          553.71       


9780470563588   $7.79           $167.25         $71.85          543.76       


9780393934830   $2.84           $78.25          $32.30          431.26       


9780072862959   $4.84           $96.25          $39.30          390.20       


9780470089156   $5.00           $93.75          $37.89          365.80       


9780395746042   $4.15           $84.00          $33.86          364.99       


9781111571375   $6.49           $104.75         $41.89          337.83       


9781568029252   $0.01           $33.75          $12.88          321.63       


9780631198246   $0.01           $31.75          $11.88          296.63       


9780716773894   $2.79           $59.00          $22.72          293.95       


9780321652799   $4.99           $79.50          $30.77          287.08       


9780470087640   $11.79          $144.50         $56.47          283.14       


9780073526188   $9.98           $118.25         $45.16          251.79       


9780393935530   $2.78           $49.25          $17.86          222.67       


9780736083232   $5.42           $71.50          $26.34          222.32       


9780137070480   $6.00           $76.25          $28.13          221.57       


9780815341291   $9.25           $102.00         $37.76          215.33       


9780674748880   $0.01           $25.00          $8.50           212.25       


9780735618794   $0.38           $27.00          $9.13           200.23       


9780325006536   $0.24           $25.25          $8.40           192.79       


9780137048328   $5.90           $69.50          $24.86          191.71       


9780073525259   $18.23          $163.75         $59.66          186.43       


9780750678100   $5.00           $61.25          $21.63          185.04       


9780520082816   $0.01           $21.50          $6.75           168.50       


9780321287137   $7.54           $75.00          $25.97          159.84       


9780534507787   $15.64          $129.75         $45.25          150.82       


9780073523231   $15.07          $123.50         $42.69          144.91       


9780801497506   $0.01           $19.25          $5.63           140.38       


9780201709704   $8.30           $75.00          $25.21          137.59       


9781133317517   $20.00          $153.50         $52.76          136.56       


9780395051795   $0.01           $17.75          $4.88           121.63       


9780691018966   $0.31           $19.50          $5.45           119.53       


9781572307537   $0.01           $17.50          $4.75           118.50       


9781133310242   $7.98           $67.25          $21.66          114.24       


9780078034664   $32.99          $223.75         $74.90          113.32       


9780393935684   $0.46           $19.25          $5.18           105.96       


9780807843499   $0.40           $18.75          $4.98           104.44       


9780470053041   $25.42          $168.25         $54.71          99.61        


9780674014718   $0.28           $17.25          $4.35           95.43        


9780495012658   $13.99          $97.50          $30.77          93.33        


9780781760034   $11.98          $84.25          $26.16          88.76        


9780195045536   $0.31           $16.75          $4.08           87.56        


9781442212725   $8.78           $63.50          $18.98          79.87        


9780813512310   $0.66           $17.50          $4.10           73.98        


9780205750351   $5.50           $44.00          $12.51          73.87        


9780534642488   $19.00          $117.50         $35.76          72.90        


9780252060120   $0.01           $13.50          $2.75           68.50        


9780486217932   $0.01           $13.50          $2.75           68.50        


9781586483944   $0.01           $13.25          $2.63           65.38        


9780674002715   $0.01           $13.25          $2.63           65.38        


9781403960924   $3.95           $33.75          $8.93           62.78        


9780736090391   $10.29          $66.25          $18.85          59.91        


9780312206628   $0.03           $12.75          $2.35           57.84        


9780202304328   $0.97           $17.50          $3.79           56.85        


9782070360789   $0.09           $12.75          $2.30           54.04        


9780374523503   $0.01           $12.25          $2.13           52.88        


9780295973395   $0.01           $12.00          $2.00           49.75        


9780321584755   $23.00          $126.00         $36.01          48.20        


9780807031131   $0.01           $11.50          $1.75           43.50        


9780452284234   $0.01           $11.50          $1.75           43.50        


9780385014854   $0.01           $11.50          $1.75           43.50        


9780312427900   $0.01           $11.50          $1.75           43.50        


9780679735663   $0.01           $11.50          $1.75           43.50        


9780743266420   $0.01           $11.50          $1.75           43.50        


9780295955254   $0.01           $11.50          $1.75           43.50        


9780393314090   $0.01           $11.50          $1.75           43.50        


9780679733768   $0.01           $11.50          $1.75           43.50        


9780465041664   $0.01           $11.50          $1.75           43.50        


9780393317558   $0.30           $12.75          $2.09           41.61        


9781580050548   $0.01           $11.25          $1.63           40.38        


9780393979534   $0.35           $12.75          $2.04           38.82        


9780140086836   $0.01           $10.75          $1.38           34.13        


9780385473767   $0.01           $10.75          $1.38           34.13        


9780143036371   $0.01           $10.75          $1.38           34.13        


9780887308376   $0.01           $10.75          $1.38           34.13        


9780679729532   $0.01           $10.75          $1.38           34.13        


9780805205725   $0.01           $10.75          $1.38           34.13        


9780140042597   $0.01           $10.75          $1.38           34.13        


9780805090895   $0.01           $10.75          $1.38           34.13        


9780805086584   $0.01           $10.75          $1.38           34.13        


9780140449136   $0.01           $10.75          $1.38           34.13        


9780618485222   $0.01           $10.75          $1.38           34.13        


9781566892964   $0.01           $10.75          $1.38           34.13        


9780140131550   $0.01           $10.75          $1.38           34.13        


9780918273833   $0.01           $10.75          $1.38           34.13        


9780679723288   $0.01           $10.75          $1.38           34.13        


9780679722427   $0.01           $10.75          $1.38           34.13        


9781400033416   $0.01           $10.75          $1.38           34.13        


9780312280192   $0.01           $10.75          $1.38           34.13        


9780385023511   $0.18           $11.50          $1.58           33.57        


9780137083695   $9.96           $56.25          $14.17          30.22        


9780312157067   $0.95           $14.75          $2.43           30.06        


9780807032695   $0.41           $12.25          $1.72           29.89        


9780674645110   $2.33           $21.00          $4.18           29.27        


9780140280630   $0.27           $11.50          $1.49           28.64        


9780205032464   $14.40          $76.00          $19.61          28.33        


9781400078752   $0.28           $11.50          $1.48           28.10        


9780736062107   $5.44           $35.00          $8.07           27.89        


9780897333658   $0.01           $10.25          $1.13           27.88        


9780394172446   $0.01           $10.25          $1.13           27.88        


9780143034360   $0.01           $10.25          $1.13           27.88        


9780205633944   $13.00          $69.25          $17.63          27.28        


9780192811677   $0.33           $11.50          $1.43           25.46        


9780132671842   $30.08          $145.50         $38.68          25.24        


9781588261137   $1.17           $15.25          $2.47           25.10        


9780395927205   $0.01           $10.00          $1.00           24.75        


9780060569662   $0.01           $10.00          $1.00           24.75        


9780609807378   $0.01           $10.00          $1.00           24.75        


9781400079377   $0.01           $10.00          $1.00           24.75        


9780486210803   $0.01           $10.00          $1.00           24.75        


