ISBN            WWU Price       Amazon Price    Difference     
9780030747090   236.75          3.47            233.28         
9780078034664   223.75          32.99           190.76         
9780078025396   165.75          2.00            163.75         
9780470563588   167.25          7.79            159.46         
9781111577438   222.00          76.28           145.72         
9780073525259   163.75          18.23           145.52         
9780470053041   168.25          25.42           142.83         
9780495602200   135.50          0.94            134.56         
9781133317517   153.50          20.00           133.50         
9780470087640   144.50          11.79           132.71         
9780495913795   149.00          30.99           118.01         
9780840061553   159.75          43.62           116.13         
9780470904145   120.00          4.50            115.50         
9780132671842   145.50          30.08           115.42         
9780534507787   129.75          15.64           114.11         
9780618063123   115.75          3.62            112.13         
9781133189701   181.00          69.99           111.01         
9780073402932   185.50          74.97           110.53         
9780073523231   123.50          15.07           108.43         
9780073526188   118.25          9.98            108.27         
9780132970754   108.75          2.00            106.75         
9780073534275   108.50          2.65            105.85         
9780321584755   126.00          23.00           103.00         
9780547165097   138.00          35.00           103.00         
9780321756664   130.25          31.17           99.08          
9780534642488   117.50          19.00           98.50          
9781111571375   104.75          6.49            98.26          
9780078022531   136.25          39.49           96.76          
9780321331793   97.25           1.96            95.29          
9781133628460   203.50          109.95          93.55          
9780815341291   102.00          9.25            92.75          
9780073523200   173.00          81.00           92.00          
9781118061602   170.00          78.41           91.59          
9780072862959   96.25           4.84            91.41          
9780470437742   159.00          67.92           91.08          
9780138009007   175.75          85.00           90.75          
9781429278508   152.75          62.99           89.76          
9780470089156   93.75           5.00            88.75          
9780136121008   139.50          52.00           87.50          
9780536665973   128.00          41.18           86.82          
9780495012658   97.50           13.99           83.51          
9781429232814   152.75          70.45           82.30          
9780137061334   115.75          35.00           80.75          
9780133546439   155.50          74.87           80.63          
9780395746042   84.00           4.15            79.85          
9780495569398   116.75          38.23           78.52          
9781285129198   116.00          38.00           78.00          
9780077402280   159.50          82.00           77.50          
9780131367739   175.75          99.00           76.75          
9780393934830   78.25           2.84            75.41          
9780130618856   124.75          49.67           75.08          
9781119941880   118.25          43.48           74.77          
9780078029172   179.00          104.43          74.57          
9780321652799   79.50           4.99            74.51          
9780131392571   117.75          43.50           74.25          
9780495389606   75.00           0.77            74.23          
9780781760034   84.25           11.98           72.27          
9780205615964   117.25          45.00           72.25          
9780137070480   76.25           6.00            70.25          
9780205258154   149.25          79.95           69.30          
9781133958499   168.00          98.98           69.02          
9780314279828   148.50          80.00           68.50          
9780321287137   75.00           7.54            67.46          
9781429229432   152.00          85.00           67.00          
9780201709704   75.00           8.30            66.70          
9781429241038   95.50           28.98           66.52          
9780321010063   90.75           24.44           66.31          
9780736083232   71.50           5.42            66.08          
9780131928787   107.50          42.00           65.50          
9780205747801   93.75           30.00           63.75          
9780137048328   69.50           5.90            63.60          
9781429240024   167.25          104.17          63.08          
9780078034886   122.75          59.84           62.91          
9780890425558   100.50          38.00           62.50          
9780132272711   157.25          95.00           62.25          
9780471699675   84.50           22.77           61.73          
9780205032464   76.00           14.40           61.60          
9780205638000   104.00          42.92           61.08          
9780123972194   81.00           20.64           60.36          
9780073375779   175.25          114.98          60.27          
9781111526436   120.25          60.00           60.25          
9781429234139   145.00          85.00           60.00          
9780321643186   144.75          84.99           59.76          
9781133310242   67.25           7.98            59.27          
9780078034985   131.75          73.05           58.70          
9780072496437   90.75           32.31           58.44          
9780073532493   122.25          64.84           57.41          
9780205770632   93.25           36.98           56.27          
9780205633944   69.25           13.00           56.25          
9780750678100   61.25           5.00            56.25          
9780716773894   59.00           2.79            56.21          
9780736090391   66.25           10.29           55.96          
9780078022678   167.00          111.06          55.94          
9780691043173   91.25           35.62           55.63          
9781442212725   63.50           8.78            54.72          
9781118363294   154.50          99.90           54.60          
9781412960786   54.00           0.01            53.99          
9780470646328   118.25          64.46           53.79          
9780078026676   148.25          95.00           53.25          
9780840058010   101.75          48.97           52.78          
9780471393535   121.00          68.97           52.03          
9781285433356   190.00          138.00          52.00          
9780470131589   75.00           23.50           51.50          
9781133587521   131.25          80.50           50.75          
9780321291387   110.50          60.00           50.50          
9781133309819   135.75          85.51           50.24          
9780078035296   150.00          99.95           50.05          
9780073385372   98.50           49.00           49.50          
9780073523323   140.75          91.69           49.06          
9780078022647   159.00          110.35          48.65          
9780495094869   87.75           40.00           47.75          
9780132698566   108.50          60.94           47.56          
9780547167053   112.50          65.12           47.38          
9780393936728   113.75          66.70           47.05          
9780324782912   197.00          150.00          47.00          
9780393935530   49.25           2.78            46.47          
9780137083695   56.25           9.96            46.29          
9781464137198   143.25          97.93           45.32          
9780078036804   118.25          73.00           45.25          
9780132992916   196.75          151.56          45.19          
9780840028570   143.25          99.00           44.25          
9780393123968   109.25          65.92           43.33          
9781449604455   130.50          87.76           42.74          
9780131145580   137.25          95.21           42.04          
9780321592576   129.75          87.99           41.76          
9780321773364   140.00          98.60           41.40          
9780133058352   179.00          138.12          40.88          
9780078022524   133.75          93.00           40.75          
9780133545005   175.00          135.00          40.00          
9780073512334   91.00           51.00           40.00          
9781133310686   129.50          89.99           39.51          
9781412987448   56.75           17.30           39.45          
9780195441550   64.25           25.00           39.25          
9780534509033   50.50           11.30           39.20          
9780205750351   44.00           5.50            38.50          
9780393913026   68.25           30.00           38.25          
9780195314403   64.00           26.50           37.50          
9780078026546   136.25          98.99           37.26          
9781412981491   64.75           27.94           36.81          
9781936221363   91.75           54.98           36.77          
9780133074673   171.50          134.94          36.56          
9781111830946   101.00          64.48           36.52          
9781285055350   160.00          123.98          36.02          
9780205032280   86.00           50.00           36.00          
9780199827381   103.25          67.50           35.75          
9780078023026   164.75          129.14          35.61          
9780072508642   93.50           58.02           35.48          
